id;Music;Hiphop, Rap;Raggae;Swing, Jazz;Movies;Comedy;Romantic;Sci-fi;War;Fantasy/Fairy tales;Documentary;Western;History;Psychology;Politics;Reading;Languages;Musical instruments;Writing;Sport;Celebrities;Science and technology;Theatre;Age;Gender;clusters
1;5.0;1.0;1.0;1.0;5.0;5.0;4.0;4.0;1.0;5.0;3.0;1.0;1.0;5.0;1.0;3.0;5.0;3.0;2.0;5.0;1.0;4.0;2.0;20.0;1;1
2;4.0;1.0;3.0;1.0;5.0;4.0;3.0;4.0;1.0;3.0;4.0;1.0;1.0;3.0;4.0;4.0;5.0;1.0;1.0;1.0;2.0;3.0;2.0;19.0;1;3
3;5.0;1.0;4.0;3.0;5.0;4.0;2.0;4.0;2.0;5.0;2.0;2.0;1.0;2.0;1.0;5.0;5.0;5.0;5.0;2.0;1.0;2.0;5.0;20.0;1;4
4;5.0;5.0;3.0;2.0;5.0;5.0;2.0;3.0;3.0;4.0;3.0;1.0;3.0;2.0;3.0;5.0;3.0;3.0;1.0;1.0;3.0;3.0;2.0;20.0;1;1
5;5.0;4.0;3.0;4.0;5.0;5.0;2.0;3.0;3.0;4.0;3.0;2.0;5.0;3.0;4.0;3.0;4.0;5.0;1.0;4.0;1.0;3.0;1.0;20.0;0;2
6;5.0;3.0;1.0;1.0;4.0;5.0;3.0;1.0;3.0;5.0;3.0;1.0;3.0;3.0;1.0;3.0;4.0;2.0;1.0;3.0;1.0;4.0;3.0;20.0;1;1
7;5.0;3.0;2.0;2.0;5.0;5.0;2.0;3.0;3.0;4.0;3.0;1.0;5.0;2.0;3.0;2.0;4.0;1.0;1.0;5.0;3.0;2.0;2.0;19.0;0;5
8;5.0;1.0;2.0;2.0;5.0;5.0;4.0;4.0;5.0;4.0;5.0;1.0;3.0;2.0;1.0;5.0;1.0;2.0;1.0;1.0;5.0;1.0;5.0;18.0;1;1
9;5.0;2.0;4.0;4.0;5.0;5.0;5.0;1.0;3.0;4.0;4.0;1.0;3.0;2.0;3.0;4.0;5.0;3.0;1.0;4.0;2.0;3.0;5.0;19.0;1;4
10;5.0;3.0;2.0;2.0;5.0;5.0;3.0;3.0;2.0;5.0;3.0;1.0;3.0;3.0;3.0;3.0;5.0;1.0;1.0;1.0;2.0;4.0;2.0;19.0;1;1
11;5.0;1.0;1.0;2.0;5.0;4.0;3.0;2.0;5.0;5.0;5.0;1.0;2.0;2.0;5.0;3.0;2.0;1.0;1.0;3.0;2.0;3.0;1.0;17.0;1;3
12;5.0;3.0;1.0;1.0;5.0;4.0;3.0;1.0;4.0;5.0;3.0;1.0;4.0;4.0;4.0;5.0;5.0;4.0;1.0;3.0;3.0;3.0;2.0;24.0;1;1
13;5.0;2.0;1.0;3.0;5.0;5.0;5.0;2.0;1.0;5.0;2.0;1.0;2.0;2.0;1.0;4.0;5.0;3.0;1.0;3.0;5.0;2.0;3.0;19.0;1;1
14;5.0;3.0;4.0;4.0;4.0;5.0;4.0;1.0;1.0;5.0;3.0;1.0;2.0;5.0;1.0;4.0;3.0;1.0;5.0;1.0;5.0;2.0;4.0;22.0;1;1
15;1.0;2.0;4.0;2.0;5.0;5.0;3.0;3.0;5.0;4.0;5.0;2.0;5.0;5.0;3.0;3.0;4.0;5.0;2.0;3.0;1.0;5.0;3.0;18.0;0;2
16;5.0;2.0;3.0;2.0;5.0;5.0;3.0;2.0;2.0;2.0;4.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;3.0;2.0;1.0;19.0;1;1
17;5.0;3.0;4.0;3.0;5.0;5.0;5.0;5.0;2.0;4.0;5.0;1.0;3.0;2.0;2.0;4.0;2.0;1.0;2.0;3.0;3.0;4.0;3.0;20.0;1;1
18;5.0;4.0;4.0;4.0;5.0;5.0;4.0;5.0;5.0;4.0;5.0;5.0;3.0;5.0;3.0;3.0;4.0;1.0;1.0;3.0;1.0;5.0;1.0;18.0;0;2
19;5.0;1.0;4.0;5.0;3.0;4.0;2.0;3.0;5.0;4.0;5.0;2.0;2.0;3.0;3.0;3.0;4.0;5.0;1.0;2.0;3.0;4.0;2.0;18.0;0;2
20;5.0;4.0;3.0;5.0;5.0;5.0;3.0;3.0;4.0;3.0;3.0;2.0;5.0;3.0;4.0;3.0;4.0;5.0;3.0;5.0;2.0;5.0;2.0;20.0;0;2
21;5.0;1.0;2.0;1.0;5.0;5.0;2.0;5.0;3.0;3.0;5.0;2.0;4.0;4.0;4.0;1.0;4.0;2.0;4.0;3.0;1.0;5.0;4.0;24.0;0;2
22;5.0;3.0;3.0;3.0;5.0;5.0;5.0;4.0;3.0;5.0;3.0;2.0;2.0;2.0;3.0;5.0;4.0;5.0;3.0;4.0;3.0;3.0;5.0;20.0;1;4
23;5.0;1.0;1.0;1.0;5.0;5.0;5.0;2.0;2.0;2.0;3.0;1.0;4.0;5.0;5.0;4.0;5.0;4.0;3.0;5.0;4.0;5.0;5.0;19.0;1;1
24;5.0;3.0;1.0;2.0;5.0;5.0;5.0;1.0;1.0;4.0;3.0;1.0;2.0;2.0;1.0;4.0;5.0;1.0;1.0;4.0;5.0;1.0;3.0;20.0;1;1
25;5.0;2.0;1.0;3.0;5.0;5.0;4.0;2.0;5.0;5.0;5.0;2.0;3.0;3.0;1.0;4.0;3.0;2.0;2.0;5.0;4.0;3.0;1.0;22.0;1;4
26;4.0;2.0;4.0;2.0;5.0;3.0;4.0;5.0;3.0;2.0;5.0;2.0;2.0;2.0;3.0;2.0;4.0;1.0;1.0;4.0;2.0;2.0;1.0;19.0;1;3
27;5.0;5.0;2.0;1.0;5.0;5.0;3.0;1.0;5.0;4.0;3.0;4.0;5.0;1.0;1.0;1.0;4.0;1.0;1.0;5.0;3.0;3.0;1.0;20.0;0;5
28;5.0;3.0;4.0;3.0;5.0;5.0;5.0;2.0;4.0;5.0;4.0;2.0;5.0;4.0;2.0;5.0;5.0;2.0;2.0;4.0;4.0;3.0;4.0;19.0;1;4
29;4.0;4.0;3.0;4.0;5.0;4.0;3.0;4.0;4.0;3.0;4.0;3.0;2.0;3.0;3.0;4.0;4.0;1.0;1.0;5.0;2.0;4.0;2.0;25.0;0;2
30;4.0;3.0;3.0;2.0;4.0;5.0;5.0;2.0;2.0;5.0;4.0;1.0;4.0;4.0;2.0;5.0;4.0;1.0;2.0;1.0;1.0;1.0;3.0;22.0;1;3
31;5.0;4.0;2.0;2.0;5.0;5.0;5.0;2.0;3.0;5.0;3.0;2.0;4.0;5.0;3.0;3.0;3.0;2.0;1.0;2.0;4.0;3.0;3.0;20.0;1;4
32;5.0;1.0;3.0;4.0;4.0;4.0;3.0;1.0;3.0;5.0;5.0;2.0;5.0;3.0;5.0;5.0;5.0;3.0;1.0;4.0;3.0;3.0;4.0;27.0;1;4
